Test : Rate 1,"10.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"2.88000","0.47645","34.51825"
"2.89000","0.47808","34.65750"
"2.90000","0.47972","34.79961"
"2.91000","0.48139","34.94505"
"2.92000","0.48308","35.09729"
"2.93000","0.48481","35.25599"
"2.94000","0.48659","35.41691"
"2.95000","0.48839","35.57543"
"2.96000","0.49014","35.70897"
"2.97000","0.49186","35.82882"
"2.98000","0.49355","35.93716"
"2.99000","0.49522","36.03880"
"3.00000","0.49686","36.15148"
"3.01000","0.49846","36.27078"
"3.02000","0.50005","36.38493"
"3.03000","0.50167","36.49739"
"3.04000","0.50336","36.64338"
"3.05000","0.50507","36.78723"
"3.06000","0.50677","36.91766"
"3.07000","0.50841","37.04184"
"3.08000","0.51002","37.15537"
"3.09000","0.51161","37.26949"
"3.10000","0.51321","37.38552"
"3.11000","0.51480","37.50686"
"3.12000","0.51642","37.61982"
"3.13000","0.51807","37.75155"
"3.14000","0.51976","37.90169"
"3.15000","0.52146","38.04477"
"3.16000","0.52315","38.19418"
"3.17000","0.52485","38.34970"
"3.18000","0.52659","38.47347"
"3.19000","0.52834","38.60036"
"3.20000","0.53008","38.73993"
"3.21000","0.53176","38.86766"
"3.22000","0.53339","38.97503"
"3.23000","0.53501","39.10081"
"3.24000","0.53663","39.22397"
"3.25000","0.53824","39.34381"
"3.26000","0.53982","39.46169"
"3.27000","0.54139","39.59018"
"3.28000","0.54298","39.70579"
"3.29000","0.54461","39.83371"
"3.30000","0.54626","39.97259"
"3.31000","0.54795","40.11386"
"3.32000","0.54967","40.24913"
"3.33000","0.55141","40.39108"
"3.34000","0.55315","40.54539"
"3.35000","0.55484","40.70071"
"3.36000","0.55648","40.82858"
"3.37000","0.55811","40.93490"
"3.38000","0.55979","41.05541"
"3.39000","0.56150","41.18286"
"3.40000","0.56320","41.31472"
"3.41000","0.56488","41.45466"
"3.42000","0.56656","41.61014"
"3.43000","0.56825","41.74663"
"3.44000","0.56993","41.87648"
"3.45000","0.57157","41.99328"
"3.46000","0.57315","42.08900"
"3.47000","0.57472","42.19662"
"3.48000","0.57630","42.31493"
"3.49000","0.57792","42.46003"
"3.50000","0.57957","42.60282"
"3.51000","0.58128","42.75270"
"3.52000","0.58306","42.90397"
"3.53000","0.58490","43.04861"
"3.54000","0.58676","43.19455"
"3.55000","0.58857","43.35127"
"3.56000","0.59034","43.48043"
"3.57000","0.59207","43.60244"
"3.58000","0.59373","43.71671"
"3.59000","0.59532","43.82090"
"3.60000","0.59685","43.91608"
"3.61000","0.59838","44.00887"
"3.62000","0.59998","44.11818"
"3.63000","0.60165","44.26400"
"3.64000","0.60336","44.41795"
"3.65000","0.60507","44.55993"
"3.66000","0.60675","44.68502"
"3.67000","0.60842","44.80424"
"3.68000","0.61010","44.91683"
"3.69000","0.61175","45.04121"
"3.70000","0.61338","45.18159"
"3.71000","0.61501","45.32668"
"3.72000","0.61665","45.47593"
"3.73000","0.61829","45.61679"
"3.74000","0.61993","45.76746"
"3.75000","0.62159","45.90321"
"3.76000","0.62329","46.02730"
"3.77000","0.62502","46.16045"
"3.78000","0.62675","46.28820"
"3.79000","0.62840","46.41493"
"3.80000","0.62998","46.52433"
"3.81000","0.63155","46.64063"
"3.82000","0.63316","46.77522"
"3.83000","0.63482","46.93364"
"3.84000","0.63651","47.10098"
"3.85000","0.63818","47.26997"
"3.86000","0.63985","47.41740"
"3.87000","0.64153","47.54122"
"3.88000","0.64320","47.64618"
"3.89000","0.64487","47.75552"
"3.90000","0.64653","47.87572"
"3.91000","0.64821","48.00327"
"3.92000","0.64989","48.15438"
"3.93000","0.65155","48.29495"
"3.94000","0.65318","48.42408"
"3.95000","0.65483","48.56479"
"3.96000","0.65653","48.71877"
