Test : Rate 1,"10.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"3.99000","0.66155","55.62559"
"4.00000","0.66315","55.74841"
"4.01000","0.66478","55.86301"
"4.02000","0.66642","55.98494"
"4.03000","0.66807","56.13116"
"4.04000","0.66976","56.29586"
"4.05000","0.67152","56.47317"
"4.06000","0.67333","56.63657"
"4.07000","0.67511","56.79401"
"4.08000","0.67680","56.93480"
"4.09000","0.67841","57.07410"
"4.10000","0.67997","57.19808"
"4.11000","0.68151","57.30893"
"4.12000","0.68305","57.41492"
"4.13000","0.68464","57.54204"
"4.14000","0.68628","57.68669"
"4.15000","0.68798","57.83868"
"4.16000","0.68971","57.98325"
"4.17000","0.69141","58.12111"
"4.18000","0.69311","58.25992"
"4.19000","0.69481","58.40024"
"4.20000","0.69651","58.54016"
"4.21000","0.69816","58.68602"
"4.22000","0.69974","58.82067"
"4.23000","0.70126","58.94185"
"4.24000","0.70281","59.05297"
"4.25000","0.70445","59.17967"
"4.26000","0.70618","59.31628"
"4.27000","0.70795","59.45021"
"4.28000","0.70972","59.58350"
"4.29000","0.71149","59.72314"
"4.30000","0.71324","59.88391"
"4.31000","0.71494","60.04562"
"4.32000","0.71661","60.18660"
"4.33000","0.71826","60.32243"
"4.34000","0.71990","60.44342"
"4.35000","0.72153","60.56648"
"4.36000","0.72313","60.71091"
"4.37000","0.72472","60.84630"
"4.38000","0.72636","60.99113"
"4.39000","0.72809","61.14489"
"4.40000","0.72989","61.30527"
"4.41000","0.73172","61.46476"
"4.42000","0.73351","61.60007"
"4.43000","0.73525","61.74631"
"4.44000","0.73694","61.88587"
"4.45000","0.73857","62.00888"
"4.46000","0.74014","62.12815"
"4.47000","0.74168","62.22723"
"4.48000","0.74324","62.34039"
"4.49000","0.74486","62.47167"
"4.50000","0.74654","62.63089"
"4.51000","0.74825","62.78407"
"4.52000","0.74999","62.93289"
"4.53000","0.75174","63.09003"
"4.54000","0.75350","63.24747"
"4.55000","0.75520","63.38942"
"4.56000","0.75684","63.51603"
"4.57000","0.75843","63.64299"
"4.58000","0.76003","63.76827"
"4.59000","0.76164","63.88369"
"4.60000","0.76326","64.01738"
"4.61000","0.76488","64.15617"
"4.62000","0.76651","64.29333"
"4.63000","0.76819","64.44141"
"4.64000","0.76993","64.58970"
"4.65000","0.77167","64.73116"
"4.66000","0.77337","64.85912"
"4.67000","0.77501","65.00715"
"4.68000","0.77664","65.14567"
"4.69000","0.77827","65.28236"
"4.70000","0.77992","65.40746"
"4.71000","0.78157","65.55278"
